Product Name,Negative,Neutral,Positive,Total Reviews,Positive %,Negative %,Neutral %,Overall Sentiment
"2 in 1 Pump Plastic Dispenser for Dishwasher Liquid Holder (Multi Colour, Standard, 385ml)",6,3,1,10,10.0,60.0,30.0,Not Liked
ASIAN Green Men's Sports Running Shoes,0,0,10,10,100.0,0.0,0.0,Liked
Allamwar 12pcs Stainless Steel Cookie Cutter Set Pastry Cookie Biscuit Cutter Cake Muffin Decor Mold Mould Multi Functional Tool,4,1,5,10,50.0,40.0,10.0,Mixed Opinion
"Amar Push Up Bar Stand For Gym & Home Exercise, Strengthens Muscles of Arms, Abdomen and Shoulders for men and women",0,0,10,10,100.0,0.0,0.0,Liked
Analog Kitchenware Kitchen Utility Knife Set of 3U,0,3,7,10,70.0,0.0,30.0,Liked
"Arni 3 in 1 Large Sink Set Dish Rack Drainer with Tray for Kitchen,Dish Rack Organizers, Plastic Kitchen Rack Dish Drainer Kitchen Rack (Plastic) Dish Drainer Kitchen Rack  (Plastic)",1,0,9,10,90.0,10.0,0.0,Liked
Automatic Wireless Electric Rechargeable Drinking Water Dispenser Pump for 20 Liter Bottle Can with USB Charging Cable (Assorted Color),6,2,2,10,20.0,60.0,20.0,Not Liked
BK KART Mixed Nuts 500gm,3,2,5,10,50.0,30.0,20.0,Mixed Opinion
"BLAQUE 3 Ply Anti Viral, Anti Pollution Surgical Disposable Face Mask With Nose Pin & Meltblown Layer- Pack of 100 (Blue)",7,2,1,10,10.0,70.0,20.0,Not Liked
BLUE-46Pcs Wrench Socket Screwdriver Set For Car/Motorcycle & Home Repairing Tool Kit,0,0,10,10,100.0,0.0,0.0,Liked
Bentag kitchenware Vegetable & Fruit Clever Cutter Stainless Steel Vegetable Scissor,4,1,5,10,50.0,40.0,10.0,Mixed Opinion
Campus TERMINATOR (N) Black Running Shoes,0,0,10,10,100.0,0.0,0.0,Liked
Comey Cotton Blend Regular Fit Full Sleeves Men's Formal Shirt - Green ( Pack of 1 ),3,1,6,10,60.0,30.0,10.0,Liked
DAKADU Pack of 18 Adhesive Hooks for Walls Heavy Duty Utility Hook Transparent Reusable No Drill Wall Hangers for Key Holder Calendars Photo Frame Cloth Decoration Kitchen Tools Bathroom,1,0,9,10,90.0,10.0,0.0,Liked
Dealcrox-Digital Display 0.1 g to 200 g Mini Pocket Weight Scale Measurement Jewellery Weighing Machine (Multicolor),8,1,1,10,10.0,80.0,10.0,Not Liked
"Double Spring Tummy Trimmer for Abs Exerciser,Body Toner and Fat Buster| For Men and Women",0,0,10,10,100.0,0.0,0.0,Liked
"Double Toning Resistance Tube Pull Rope Elastic Rubber Exercise Band for Stretching, Workout, Home Gym and Toning with Heavy Quality D Shaped Handles",4,3,3,10,30.0,40.0,30.0,Mixed Opinion
"Dynore Stainless Steel 2 in 1 Partition Plate for Kitchen Serving, 22cm Length per unit, (Pack of 6)",2,2,6,10,60.0,20.0,20.0,Liked
Ezybe Self Adhesive Kichen Shelf Light Blue Plastic Storage Racks (Pack of 2),0,0,10,10,100.0,0.0,0.0,Liked
Ezzi Deals 360 Degree Rotating Magic Bucket Spin Mop Set  (Color as per availability),0,0,10,10,100.0,0.0,0.0,Liked
Gazal Fashions - Wine Banarasi Silk Saree With Blouse Piece ( Pack of 1 ),0,0,10,10,100.0,0.0,0.0,Liked
Glorious - Pink Cotton Women's Front Slit Kurti ( Pack of 1 ),5,2,3,10,30.0,50.0,20.0,Mixed Opinion
Herbalife Personalized Protein Powder 200 gm Pack of 2,4,0,6,10,60.0,40.0,0.0,Liked
Hetsa - Brown Cotton Blend Women's Straight Kurti ( Pack of 1 ),5,2,3,10,30.0,50.0,20.0,Mixed Opinion
JA-50 kg Weight Scale Digital Luggage Weighing Scales Weighing Capacity - 50 Kg Tools Hardware,6,1,3,10,30.0,60.0,10.0,Not Liked
"Lawn Grass seed - 3000 seeds/Pack, Instruction Manual Inside Package",6,4,0,10,0.0,60.0,40.0,Not Liked
Leakage Repair Waterproof Tape for Pipe Leakage Roof Water Leakage Solution Alum - Silver Single Sided Duct Tape ( Pack of 1 ),7,2,1,10,10.0,70.0,20.0,Not Liked
Lotus Flower Seeds mix Colors Seeds For Home Garden 20 Seeds + free seed,5,3,2,10,20.0,50.0,30.0,Mixed Opinion
"Masala Rangoli Box Dabba for Keeping Spices, Spice Box for Kitchen, Plastic Wooden Style Masala Box, Masala Container, Masala Dabba",0,3,7,10,70.0,0.0,30.0,Liked
"Microvent Multi-purpose Plastic Kitchen Container Set with vent, 1800ml, 1100ml, 680ml, 360ml, Purple (4U)",0,0,10,10,100.0,0.0,0.0,Liked
"Milton Flip Lid 1000 Thermosteel 24 Hours Hot and Cold Water Bottle with Bag, 1 Litre, Silver",8,1,1,10,10.0,80.0,10.0,Not Liked
Next Queen-1500 Liter Watt Stainless Steel Electric Kettle,0,0,10,10,100.0,0.0,0.0,Liked
"Nut Toppers Arabian Dates, 800 g (400g x 2)",8,0,2,10,20.0,80.0,0.0,Not Liked
"Nutriley Muscle Gainer Capsules, Mass Gainer, Increase Muscle Mass & Strength, 60 Capsules",0,0,10,10,100.0,0.0,0.0,Liked
PRd PU Tan Casual regular Wallet,5,3,2,10,20.0,50.0,30.0,Mixed Opinion
RAGE GAZE - Brown PU Men's Regular Wallet ( Pack of 1 ),4,4,2,10,20.0,40.0,40.0,Mixed Opinion
"SH NASIMA - Home Storage Cloth Bags, Saree, Suits, Blouse, Blanket Organiser for Underbed, Almirah (Pack of 3)",7,0,3,10,30.0,70.0,0.0,Not Liked
SHARUJA Analog Electric Tester,4,0,6,10,60.0,40.0,0.0,Liked
Sambhav Deals - Tan PU Men's Regular Wallet ( Pack of 1 ),0,2,8,10,80.0,0.0,20.0,Liked
"Set of 02 Underbed Storage Bag, Storage Organizer, Blanket Cover with Front Handle",0,0,10,10,100.0,0.0,0.0,Liked
Shiv Trishul Damru Gold-plated Locket with Rudraksha Mala,6,0,4,10,40.0,60.0,0.0,Not Liked
"Stainless Steel Vestire Manual Hand Blender for Egg & Cream Beater, Milkshake, Lassi, Butter Milk Mixer",5,2,3,10,30.0,50.0,20.0,Mixed Opinion
Tantra Fluke Pro Bluetooth Receiver 4.1 Bluetooth Kit for Car (Black),1,0,9,10,90.0,10.0,0.0,Liked
Topware Faux Leather Brown Casual Regular Wallet Leather Brown Casual Regular Wallet,1,0,9,10,90.0,10.0,0.0,Liked
UNICAL Shock Resistant Cable Protector for Smartphones and Tablets ( Multicolor ),3,0,7,10,70.0,30.0,0.0,Liked
Unique Retail 7 in 1 Electric Soldering/Welding Iron Kit For DIY/Crafts Tools Hardware,6,2,2,10,20.0,60.0,20.0,Not Liked
chopwell Red Plastic Manual Kitchen Chopper 450 ml ( Pack of 1 ),5,2,3,10,30.0,50.0,20.0,Mixed Opinion
dust n shine Multicolor Stainless Steel Steal scrubber pack of 12 ( Set of 12 ),9,0,1,10,10.0,90.0,0.0,Not Liked
flyfot Kitchenware Plastic Multipurpose Rice Wash Bowl with Handle for Rice V Plastic Strainers 1 Pc,4,4,2,10,20.0,40.0,40.0,Mixed Opinion
sweat BELT hot shapers hot shaper sauna tummy trimmer slimming belt,0,0,10,10,100.0,0.0,0.0,Liked
